name,gender
dolly,m
soma,f
vinita,f
azim,m
priynka,f
nurjaha,f
subham,m
kaushar,f
nagaji,m
rennu,f
jina,f
pari,f
annavi,f
salina,f
sharshwati,f
chatar,m
naina,f
sahwaj,m
premi,f
shoyab,m
harsha,f
ashiya,f
dipali,f
sarmila,f
shahnaz,f
bitto,m
modh,m
ezaz,m
ramesh,f
archita,f
begam,f
nargish,f
narendra,m
shrawan,m
sumnesh,f
mony,f
kachan,f
zeenat,f
afshar,m
sarojni,f
tanjeem,f
sozi,f
sandha,f
mohanlal,m
dhanpat,m
mehnaz,f
anash,m
mamta,m
allaraji,m
vadhi,f
dwarika,m
devki,f
brinda,f
hanif,m
nittin,m
noorin,f
meghanath,m
sabeena,f
salmakhatun,f
sahrul,f
sunny,f
mool,m
lakshaya,m
raghu,m
mnoj,m
naresh,f
tane,f
vikki,f
hazari,m
shamim,m
asana,f
sajan,m
chandki,m
panmati,f
mithun,m
veenu,f
sidharth,m
najrana,f
kishansingh,m
rukmani,f
nipun,m
kelashi,f
samad,m
neraj,f
afzaj,m
ramsagar,m
bimlesh,f
shakuntala,f
dhramender,m
kasish,f
sajad,m
harshi,f
sarjeet,m
paramjit,f
parsnath,m
nitish,m
tilakraj,m
vi,m
amarjeet,m
yunus,m
shanawaz,m
malika,f
baliram,m
madanlal,m
aasish,m
manish,f
bishan,m
gagan,m
sidarth,m
tejender,f
sohni,f
hom,m
shila,f
yashodha,f
rukshan,m
nandita,m
anwari,m
nrendr,m
rajbir,m
jafruddin,m
puswa,m
kantil,m
natu,f
anupama,f
vicakha,f
aditi,m
jagan,f
aashiya,f
vinna,f
rajan,m
hitesh,m
sobi,m
bikki,m
saima,f
anjuman,f
kallo,f
muli,f
gulfsa,f
dabu,m
amar,m
aakil,m
hanshraj,m
padama,f
guldasta,f
amrika,m
shneha,f
ganita,f
basir,m
ritika,f
durgesh,m
mandira,f
guljan,f
subhdra,f
niraj,f
jagdeep,m
shaikh,m
harshit,m
mahinder,m
sanjna,f
fazin,f
jaynarayan,m
shanta,f
parem,m
akash,f
gomati,f
maneesha,f
shiva,m
abu,m
ramkesh,m
jang,m
jogender,m
imtiyaz,m
uma,f
shishpal,m
yasmin,f
vidya,m
sonika,f
rabiya,f
rukhsna,f
ajeet,m
shahgujta,f
ismaliye,f
chandini,f
dilshad,m
ajit,m
nahid,f
sayna,f
jashinal,f
sourabh,m
trilok,m
asanti,f
sujata,f
mishra,m
najara,f
sultana,f
vasuki,m
reeta,f
damini,f
saeshta,f
gaytri,f
mariam,f
pryinka,f
farukh,m
ramdev,m
jugani,f
amandeep,m
mahak,f
shajid,m
sanjana,f
surendr,m
yaksh,m
gunjan,f
rampal,f
akansha,f
nrotam,m
satyam,m
saleem,m
tasnim,f
rameshwer,m
samsida,f
bishun,m
mujaffar,m
fra,f
dev,f
pyarelal,m
bunda,m
sharjprit,f
udmai,m
gulsha,f
runiya,f
moti,m
sanoj,f
najo,f
aidtya,m
rambhool,m
moolchul,m
bhori,f
shilap,f
bhiki,f
brij,m
udham,m
kali,m
ramila,f
gulnaza,f
husain,m
mili,f
montu,m
buddhi,m
kmla,f
rizwan,m
rizwaan,m
subhagi,f
shriram,m
mum,m
meenu,m
daya,m
mukul,m
nana,f
manjoo,f
chanab,f
sisty,f
subrati,m
yasoda,f
mahjabi,f
gouri,f
araslan,m
mintu,m
saalu,f
mithlesh,f
somwati,f
manali,f
pholwati,f
bhahadur,m
momena,f
narbada,f
vishamitra,m
shakti,m
archan,f
mausam,f
phalguni,f
chhanoyar,m
shjad,m
marjana,f
dur,f
vaibav,m
julfi,m
vikarm,m
kawaljeet,m
turveny,f
bahalen,f
desh,m
pphola,m
viresh,m
fahad,m
shilpa,f
fahira,f
fhaishal,m
bhasker,m
mithlesh,m
yogita,f
shanawaz,f
srisuraj,m
pratha,m
tosif,m
ratani,f
ritik,m
toni,m
digamber,m
nibo,f
hasina,f
murari,m
jaivind,m
kanheya,m
saviha,f
ankit,f
rekhwan,f
badan,m
dimple,f
mehinder,m
gur,m
preety,f
noorjaha,f
paka,f
ashshwer,m
ranki,f
mati,f
rekha,m
rahmat,m
maj,m
